Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue ID,Distance,Venue Latitude,Venue Longitude,Venue Category,like_counts,rating,photo_count,reasons_count,tips_count
South Philadelphia,39.96411002943043,-75.16105003116108,Retro Fitness - Spring Garden,5a98bd40cad1b6012e5a20e8,337,39.962684636132046,-75.16453467612564,Gym / Fitness Center,5,7.5,1,0,0
South Philadelphia,39.96411002943043,-75.16105003116108,Kelliann's Bar & Grill,40b28c80f964a520ebf91ee3,333,39.962908031488716,-75.16463057369019,Dive Bar,26,7.3,60,0,12
South Philadelphia,39.96411002943043,-75.16105003116108,Brandywine Pizza,4b796d1cf964a520e3f82ee3,190,39.96332180346163,-75.16303633597066,Pizza Place,10,6.8,3,0,8
South Philadelphia,39.96411002943043,-75.16105003116108,Lorraine,554eba55498e01d1a23aa7cb,453,39.968080233533776,-75.16224522535927,Bar,8,7.5,4,0,1
South Philadelphia,39.96411002943043,-75.16105003116108,City View Pizza,4bf33489706e20a10a05a898,329,39.96272971597319,-75.16446414444479,Pizza Place,21,7.1,20,0,24
South Philadelphia,39.96411002943043,-75.16105003116108,Sals Seafood,4d85090d02eb5481bbaa3bf5,257,39.966420888890525,-75.16088763420547,Seafood Restaurant,10,6.9,10,0,10
South Philadelphia,39.96411002943043,-75.16105003116108,Divine Lorraine Hotel,4b7cf360f964a52026aa2fe3,314,39.96686357780396,-75.16024125186766,Hotel,18,7.0,103,0,4
South Philadelphia,39.96411002943043,-75.16105003116108,Cvs,5d95fdd0718dfa0008ab6970,212,39.962276,-75.16174000000001,Pharmacy,0,6.7,0,0,0
South Philadelphia,39.96411002943043,-75.16105003116108,Retro Fitness,5822e661dd431244831693c5,338,39.962643255775006,-75.16452126074034,Gym,2,6.9,1,0,1
South Philadelphia,39.96411002943043,-75.16105003116108,SUBWAY,4b1e8ac8f964a5205f1b24e3,142,39.962848880632826,-75.16133114833917,Sandwich Place,2,6.5,2,0,1
South Philadelphia,39.96411002943043,-75.16105003116108,Sakura Japanese Cuisine,4c890843a0ffb60c43eb26c5,276,39.96270504262584,-75.16371822957744,Japanese Restaurant,5,6.6,18,0,7
South Philadelphia,39.96411002943043,-75.16105003116108,Thirsty Dice,5bd3b022dd8442002cadb870,434,39.966841,-75.164694,Café,7,6.9,5,0,4
South Philadelphia,39.96411002943043,-75.16105003116108,Anytime Fitness,56fbfccb498e49bedda797a2,484,39.967040000000004,-75.16525,Gym / Fitness Center,0,6.9,1,0,0
South Philadelphia,39.96411002943043,-75.16105003116108,Johnnie Bleu,54d97209498ea26459030464,496,39.96852544047761,-75.16019699129109,Lounge,7,6.7,14,0,2
South Philadelphia,39.96411002943043,-75.16105003116108,Saint Stephen's Green,4a76314cf964a5208be21fe3,422,39.96466042365465,-75.16594978211667,Gastropub,55,6.3,69,1,41
Southwest Philadelphia,39.91004000000004,-75.18636999999995,Dunkin',5a22dc6e06fb60470b5f4ef7,53,39.910217,-75.186947,Donut Shop,7,7.8,0,0,1
Southwest Philadelphia,39.91004000000004,-75.18636999999995,Dunkin',5a22dc6e06fb60470b5f4ef7,53,39.910217,-75.186947,Donut Shop,15,6.3,6,0,4
West Philadelphia,40.05313171986968,-75.02851114495112,Dunkin',4c543d3e4623be9a760974f2,466,40.05726474627394,-75.02944345279599,Donut Shop,7,7.8,0,0,1
West Philadelphia,40.05313171986968,-75.02851114495112,Dunkin',4c543d3e4623be9a760974f2,466,40.05726474627394,-75.02944345279599,Donut Shop,15,6.3,6,0,4
Southwest Philadelphia,39.91004000000004,-75.18636999999995,Penrose Diner,4a90dacff964a5209f1920e3,384,39.912320306606055,-75.18299451040096,Diner,203,8.0,48,1,76
Southwest Philadelphia,39.91004000000004,-75.18636999999995,Popi's Restaurant,4bbe86f0ba9776b09de9fdc8,372,39.91167832805587,-75.18256780489956,Italian Restaurant,45,7.5,27,1,21
Southwest Philadelphia,39.91004000000004,-75.18636999999995,Subway,5c4c9fec75dcb7002c83ac7a,331,39.90775724127639,-75.1888711095072,Sandwich Place,0,6.6,0,0,0
Southwest Philadelphia,39.91004000000004,-75.18636999999995,APlus at Sunoco,4c3d0a7715cb1b8d3f7f7bdc,347,39.90771715728247,-75.18908616367955,Coffee Shop,28,6.3,11,0,6
Southwest Philadelphia,39.91004000000004,-75.18636999999995,Peking Inn,4bd4d53e7b1876b036ec8986,337,39.91207740614025,-75.18344400211015,Chinese Restaurant,4,6.1,3,0,4
Southwest Philadelphia,39.91004000000004,-75.18636999999995,Penrose Hotel Philadelphia,570d0caa498e5b652a8cab10,337,39.912476643036364,-75.18402457237244,Hotel,2,4.5,3,0,5
West Philadelphia,40.05313171986968,-75.02851114495112,7-Eleven,4ca7f44544a8224b5bef1240,474,40.0573929790588,-75.0284670334622,Convenience Store,2,6.2,26,0,1
Lower North Philadelphia,39.96415799999999,-75.1988025,Quality Taste Jamaican Restaurant,5132abf0e4b09cc3655a5742,351,39.96313,-75.20269499999998,Caribbean Restaurant,23,8.6,3,0,4
Lower North Philadelphia,39.96415799999999,-75.1988025,Redcap's Corner,49cf729ff964a520a85a1fe3,318,39.961315,-75.19924300000001,Toy / Game Store,16,8.0,15,0,5
Lower North Philadelphia,39.96415799999999,-75.1988025,FRESH DONUTS,4bd621be6f649521336570ec,225,39.96216759565701,-75.19931254967717,Bakery,4,6.9,1,0,8
Lower North Philadelphia,39.96415799999999,-75.1988025,Jollie's West,4ee6c6d6490141636c089c23,491,39.95998591757878,-75.19691144084469,Hookah Bar,13,7.3,14,0,2
Lower North Philadelphia,39.96415799999999,-75.1988025,Golden Tea House,522fba3f498e8dc38fa4ec94,497,39.96048356389921,-75.20211782944304,Piano Bar,8,7.3,11,0,1
Lower North Philadelphia,39.96415799999999,-75.1988025,Family Dollar,599e6d368194fc624a277f39,492,39.964815,-75.20450799999999,Discount Store,0,6.5,0,0,0
Lower North Philadelphia,39.96415799999999,-75.1988025,Cricket Wireless Authorized Retailer,4e397a52fa763bfcc36e7213,461,39.963993,-75.204205,Mobile Phone Shop,0,6.4,0,0,0
Lower North Philadelphia,39.96415799999999,-75.1988025,Spring Chinese Restaurant,4c48c42dfbafc928aec805da,476,39.96016037561025,-75.19679092706006,Chinese Restaurant,8,5.9,4,0,7
Upper North Philadelphia,40.05911000000003,-75.05217999999995,Dattilo's,4b6eccb8f964a52019cb2ce3,92,40.059903912636656,-75.05248450980542,Deli / Bodega,23,8.5,4,0,8
Upper North Philadelphia,40.05911000000003,-75.05217999999995,Lipkin's Bakery,4c62bfd3ec94a5934cf829ca,433,40.062080588047905,-75.055465062238,Bakery,17,8.0,17,0,4
Upper North Philadelphia,40.05911000000003,-75.05217999999995,Wawa,5968c580a6031c5daacb4104,484,40.05543828903908,-75.04912928404458,Convenience Store,5,7.9,6,0,1
Upper North Philadelphia,40.05911000000003,-75.05217999999995,Wawa,5968c580a6031c5daacb4104,484,40.05543828903908,-75.04912928404458,Convenience Store,42,6.9,18,1,10
Upper North Philadelphia,40.05911000000003,-75.05217999999995,Wawa,5968c580a6031c5daacb4104,484,40.05543828903908,-75.04912928404458,Convenience Store,93,7.8,27,1,16
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,Wawa,4bcc9587511f95210a40b3c7,320,39.98365,-75.100714,Convenience Store,5,7.9,6,0,1
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,Wawa,4bcc9587511f95210a40b3c7,320,39.98365,-75.100714,Convenience Store,42,6.9,18,1,10
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,Wawa,4bcc9587511f95210a40b3c7,320,39.98365,-75.100714,Convenience Store,93,7.8,27,1,16
Roxborough-Manayunk,40.037990000000036,-75.22307999999998,Wawa,4b7cbd18f964a52098a32fe3,292,40.040592,-75.223555,Convenience Store,5,7.9,6,0,1
Roxborough-Manayunk,40.037990000000036,-75.22307999999998,Wawa,4b7cbd18f964a52098a32fe3,292,40.040592,-75.223555,Convenience Store,42,6.9,18,1,10
Roxborough-Manayunk,40.037990000000036,-75.22307999999998,Wawa,4b7cbd18f964a52098a32fe3,292,40.040592,-75.223555,Convenience Store,93,7.8,27,1,16
Upper North Philadelphia,40.05911000000003,-75.05217999999995,Rite Aid,4d3607163612a0935e617b5d,476,40.0615527,-75.05677390000001,Pharmacy,5,7.4,4,0,0
Upper North Philadelphia,40.05911000000003,-75.05217999999995,Aldi's,564ddd2c498e1f41e51b4b6d,470,40.055288694240225,-75.04982560873032,Grocery Store,16,7.3,7,0,2
Upper North Philadelphia,40.05911000000003,-75.05217999999995,Ritz Diner,5adccf518c35dc7eae9de327,487,40.057252373281216,-75.047001985102,Diner,6,6.7,5,0,8
Upper North Philadelphia,40.05911000000003,-75.05217999999995,Tuscany Ristorante,4b6cb09bf964a520724c2ce3,443,40.05704824111185,-75.04773279189683,Italian Restaurant,10,6.6,18,0,5
Upper North Philadelphia,40.05911000000003,-75.05217999999995,The Rhawnhurst,4b8b040ff964a5207e8e32e3,470,40.062057215496736,-75.05613645213559,Bar,3,6.6,6,0,6
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,The River Wards Cafe,56eeca80498eaa1cd86d85e7,340,39.98204937250129,-75.10330563496208,Coffee Shop,15,8.7,14,0,6
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,Byrne's Tavern,40b28c80f964a5201ffa1ee3,365,39.98415493056724,-75.09899656525548,Wings Joint,51,8.6,45,1,21
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,Donna's Bar,40b28c80f964a52027fa1ee3,337,39.98327000000001,-75.102074,Bar,8,7.5,16,0,1
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,Primo Hoagies,4bd1dc36046076b04ea87271,487,39.98288108468295,-75.10469555854796,Sandwich Place,12,8.0,8,0,3
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,Primo Hoagies,4bd1dc36046076b04ea87271,487,39.98288108468295,-75.10469555854796,Sandwich Place,16,7.9,9,0,5
Germantown-Chestnut Hill,40.078489151809954,-75.21193403833223,Primo Hoagies,50c4f2a9e4b0f9a0d8e9aec6,315,40.07821816961288,-75.2082422375679,Sandwich Place,12,8.0,8,0,3
Germantown-Chestnut Hill,40.078489151809954,-75.21193403833223,Primo Hoagies,50c4f2a9e4b0f9a0d8e9aec6,315,40.07821816961288,-75.2082422375679,Sandwich Place,16,7.9,9,0,5
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,Krakus Polish Market,4b9fec94f964a520c54a37e3,313,39.98264583170753,-75.10247792053856,Grocery Store,15,7.1,7,0,5
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,APlus At Sunoco,4c35b928a0ced13a2a2c1a6e,291,39.983247527070425,-75.10110510037609,Coffee Shop,4,6.0,2,0,4
Roxborough-Manayunk,40.037990000000036,-75.22307999999998,Gorgas Park,4b93da48f964a520405534e3,242,40.03681511027442,-75.22068500518799,Playground,16,7.9,47,0,3
Roxborough-Manayunk,40.037990000000036,-75.22307999999998,CVS pharmacy,4d8b9d5e0c4e41bd85a6667f,306,40.04065661425741,-75.22396879920886,Pharmacy,13,7.1,4,0,2
Roxborough-Manayunk,40.037990000000036,-75.22307999999998,CVS pharmacy,4d8b9d5e0c4e41bd85a6667f,306,40.04065661425741,-75.22396879920886,Pharmacy,0,6.5,0,0,0
Olney-Oak Lane,40.041130000000074,-75.12404999999995,CVS pharmacy,4facc8f2e4b08d12aa3fd14c,251,40.04176850160086,-75.12122409887918,Pharmacy,13,7.1,4,0,2
Olney-Oak Lane,40.041130000000074,-75.12404999999995,CVS pharmacy,4facc8f2e4b08d12aa3fd14c,251,40.04176850160086,-75.12122409887918,Pharmacy,0,6.5,0,0,0
Roxborough-Manayunk,40.037990000000036,-75.22307999999998,Redbox,4e31c42f2fb6ede816e34c28,274,40.040248,-75.224379,Video Store,0,6.6,0,0,0
Roxborough-Manayunk,40.037990000000036,-75.22307999999998,Daiva's Diner,4f8ae70ee4b0ab5c894012e1,432,40.04136374597829,-75.22559559017252,Diner,7,6.1,5,0,12
Germantown-Chestnut Hill,40.078489151809954,-75.21193403833223,Thai Kuu,4dcdfc16b3adb047f4ef9d26,286,40.07799518853335,-75.2086363696306,Thai Restaurant,24,8.9,30,0,12
Germantown-Chestnut Hill,40.078489151809954,-75.21193403833223,McNally's Tavern,4adb6ee1f964a520662721e3,296,40.077212,-75.208884,Pub,63,8.4,99,1,39
