Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue ID,Distance,Venue Latitude,Venue Longitude,Venue Category,like_counts,rating,photo_count,reasons_count,tips_count
Downtown Toronto,43.65820000000008,-79.3683200038951,King's Place647-352-0786,548bb041498eff940205b644,209,43.658278219451866,-79.37092509166455,Pakistani Restaurant,16,7.1,11,0,5
Downtown Toronto,43.65820000000008,-79.3683200038951,Berkeley Church,4ade8ea8f964a5205a7621e3,395,43.655123241745,-79.36587330410704,Event Space,26,7.7,194,0,7
Downtown Toronto,43.65820000000008,-79.3683200038951,The Yoga Lounge,4b58dd55f964a5208f6f28e3,403,43.655515222617204,-79.36495542526245,Yoga Studio,8,7.6,1,0,2
Downtown Toronto,43.65820000000008,-79.3683200038951,FAMO Sandwiches,589b45bfaf5c141e6c9e0c3b,470,43.654064,-79.369515,Sandwich Place,5,7.9,3,0,3
Downtown Toronto,43.65820000000008,-79.3683200038951,Smoke's Poutinerie,4ada0565f964a520601d21e3,423,43.65737935238092,-79.37345459540276,Poutine Place,59,7.6,104,1,25
Downtown Toronto,43.65820000000008,-79.3683200038951,Paintbox Bistro,505bacb2e4b0474d876eb78c,485,43.66005047590362,-79.36285470971839,Restaurant,25,7.7,34,0,9
Downtown Toronto,43.65820000000008,-79.3683200038951,The Beer Store,4b6dde8bf964a5203a972ce3,392,43.6613878,-79.370403,Beer Store,9,7.4,9,0,1
Downtown Toronto,43.65820000000008,-79.3683200038951,It's Jenny Café,506d879ae4b087726c8cdd45,419,43.661937943136046,-79.36898910730264,Café,4,7.3,8,0,3
Downtown Toronto,43.65820000000008,-79.3683200038951,Souvlaki Express,4bc39c914cdfc9b6f29c9721,427,43.65558391537734,-79.36443816909015,Greek Restaurant,7,7.3,8,0,6
Downtown Toronto,43.65820000000008,-79.3683200038951,Moss Park Arena,4bca1f87b6c49c74e3d28f91,386,43.65488712314853,-79.36977129447679,Skating Rink,5,6.8,16,0,4
Etobicoke,43.64436000000007,-79.56712999999995,Tim Hortons,50d4866ee4b0c1554d94fef7,57,43.6447049,-79.5676593,Coffee Shop,31,7.8,15,1,3
Etobicoke,43.64436000000007,-79.56712999999995,Tim Hortons,50d4866ee4b0c1554d94fef7,57,43.6447049,-79.5676593,Coffee Shop,15,6.8,14,0,5
Etobicoke,43.64436000000007,-79.56712999999995,Tim Hortons,50d4866ee4b0c1554d94fef7,57,43.6447049,-79.5676593,Coffee Shop,2,6.2,4,0,2
Etobicoke,43.64436000000007,-79.56712999999995,Tim Hortons,50d4866ee4b0c1554d94fef7,57,43.6447049,-79.5676593,Coffee Shop,2,5.3,2,0,3
Scarborough,43.772200000000055,-79.25665999999995,Tim Hortons,4be412b0cf200f474e6c113c,390,43.76993563590986,-79.26036802679845,Coffee Shop,31,7.8,15,1,3
Scarborough,43.772200000000055,-79.25665999999995,Tim Hortons,4be412b0cf200f474e6c113c,390,43.76993563590986,-79.26036802679845,Coffee Shop,15,6.8,14,0,5
Scarborough,43.772200000000055,-79.25665999999995,Tim Hortons,4be412b0cf200f474e6c113c,390,43.76993563590986,-79.26036802679845,Coffee Shop,2,6.2,4,0,2
Scarborough,43.772200000000055,-79.25665999999995,Tim Hortons,4be412b0cf200f474e6c113c,390,43.76993563590986,-79.26036802679845,Coffee Shop,2,5.3,2,0,3
Scarborough,43.772200000000055,-79.25665999999995,Tim Hortons,4de1a9421f6e3190ccfe84bb,393,43.771521859665796,-79.2518573999404,Coffee Shop,31,7.8,15,1,3
Scarborough,43.772200000000055,-79.25665999999995,Tim Hortons,4de1a9421f6e3190ccfe84bb,393,43.771521859665796,-79.2518573999404,Coffee Shop,15,6.8,14,0,5
Scarborough,43.772200000000055,-79.25665999999995,Tim Hortons,4de1a9421f6e3190ccfe84bb,393,43.771521859665796,-79.2518573999404,Coffee Shop,2,6.2,4,0,2
Scarborough,43.772200000000055,-79.25665999999995,Tim Hortons,4de1a9421f6e3190ccfe84bb,393,43.771521859665796,-79.2518573999404,Coffee Shop,2,5.3,2,0,3
East York,43.691800000000065,-79.32702999999998,Tim Hortons,51c2fbcc498e9c5ea2bf5902,238,43.68982929999999,-79.32586140000001,Coffee Shop,31,7.8,15,1,3
East York,43.691800000000065,-79.32702999999998,Tim Hortons,51c2fbcc498e9c5ea2bf5902,238,43.68982929999999,-79.32586140000001,Coffee Shop,15,6.8,14,0,5
East York,43.691800000000065,-79.32702999999998,Tim Hortons,51c2fbcc498e9c5ea2bf5902,238,43.68982929999999,-79.32586140000001,Coffee Shop,2,6.2,4,0,2
East York,43.691800000000065,-79.32702999999998,Tim Hortons,51c2fbcc498e9c5ea2bf5902,238,43.68982929999999,-79.32586140000001,Coffee Shop,2,5.3,2,0,3
Etobicoke,43.64436000000007,-79.56712999999995,Farmer's Market Etobicoke,4c3876b80a71c9b6aca240c9,163,43.643061019600275,-79.56619097935341,Farmers Market,7,7.5,3,0,3
Etobicoke,43.64436000000007,-79.56712999999995,Burnhamthorpe and The West Mall,4c23f7c3136d20a1c41fe161,47,43.644786390018126,-79.5670645669674,Intersection,0,Null,1,0,1
Etobicoke,43.64436000000007,-79.56712999999995,Livingston International,4e9ec1947ee511e1b7c4d8f0,147,43.645688,-79.567092,Transportation Service,0,Null,1,0,0
Etobicoke,43.64436000000007,-79.56712999999995,W.E. Kitchen,4f7b19c1e4b0d859b68a843e,79,43.64506997977582,-79.56702242428679,Breakfast Spot,4,Null,1,0,1
Etobicoke,43.64436000000007,-79.56712999999995,West Mall Rink,4b5a60bdf964a5202dc128e3,258,43.64213754699409,-79.56621841628123,Skating Rink,1,Null,3,0,0
