Venue,like_counts,rating,photo_count,reasons_count,tips_count
Krakus Polish Market,15,7.1,7,0,5
Wawa,42,6.9,18,1,10
APlus At Sunoco,4,6.0,2,0,4
Interstate 95 at Exit 25,0,Null,3,0,0
Appliance & TV Discounters,0,Null,0,0,0
Marx Medical Equipment,0,Null,0,0,0
The Stadium.,0,Null,1,0,0
Monkiewicz Park - Power 99 Parks & Rec,0,Null,2,0,0
Westway Terminals,0,Null,1,0,0
Syrenka Luncheonette,5,Null,7,0,2
Unidentified Mural,0,Null,0,0,0
Sitarz Andrzej,0,Null,0,0,0
Rick Heating & Cooling Philadelphia,0,Null,0,0,0
Syrenka Luncheonette,0,Null,0,0,1
Tweed Video Productions,0,Null,0,0,1
The Cove,1,Null,1,0,1
Breathing Room,2,Null,1,0,1
No. 1 Cafe,0,Null,0,0,1
The Pizza Store,1,Null,0,0,3
Patriot Rolling Gates,0,Null,0,0,0
Marinucci's Deli,0,Null,0,0,0
Gorgas Park,16,7.9,47,0,3
Wawa,93,7.8,27,1,16
CVS pharmacy,13,7.1,4,0,2
Redbox,0,6.6,0,0,0
Daiva's Diner,7,6.1,5,0,12
mudflats baseball field,0,Null,0,0,0
Roman's Pizza,1,Null,0,0,1
Lucky Garden,1,Null,0,0,1
Fountain Street Auto,3,Null,0,0,1
"Van Buskirk, Michael",0,Null,0,0,0
Parks On Tap - Gorgas Park,0,Null,1,0,0
Gorgas Park 21st Ward War Memorial,1,Null,2,0,2
J Davis Printing,0,Null,0,0,1
Cohen Philadelphia Plumbing & Heating Company,0,Null,0,0,0
Roxborough Track,4,Null,5,0,0
Roxborough High School Football Field,1,Null,0,0,0
Gorgas Park Tennis Courts,0,Null,0,0,1
the peapott room at the castle,0,Null,1,0,0
Bento Sushi,0,Null,0,0,0
Murphy Roofing,0,Null,2,0,0
Ridge Diner,0,Null,0,0,3
Cricket Wireless,0,Null,0,0,0
Three Spheres,0,Null,0,0,0
County Classifieds,0,Null,0,0,0
The Naked Peach,1,Null,0,0,0
Thai Kuu,24,8.9,30,0,12
McNally's Tavern,63,8.4,99,1,39
Chestnut Hill Coffee Co.,115,8.6,104,1,54
Primo Hoagies,16,7.9,9,0,5
Tavern on the Hill,35,7.7,18,1,21
Hideaway Music,8,7.8,7,0,4
Cosimo's Pizza Cafe,17,7.3,14,0,17
Starbucks,77,7.6,133,1,21
Stella Sera,5,6.9,6,0,3
Mica,5,7.1,14,0,8
TD Bank,3,6.7,0,0,1
Citizens Bank,0,6.4,5,0,1
Wells Fargo,0,6.5,1,0,1
Greene Street Consignment,5,6.4,3,0,2
Expressly Vegetarian Cafe,0,Null,0,0,0
Top Of The Hill Plaza,0,Null,2,0,0
The Bone Appetite,3,5.9,10,0,3
Edward Jones - Financial Advisor: Monaye C Nelson,0,Null,2,0,0
Bugay's Jewelers,0,Null,0,0,0
Bohemian Pink,0,Null,0,0,0
TradeWinds B.Y.O.B,1,Null,0,0,0
Breakfast Boutique Chestnut Hill,3,Null,4,0,2
Chestnut Hill Loop,4,Null,8,0,3
Spa Elysium | Fringe Salon & Apothecary,5,Null,16,0,1
Chestnut Hill Sports Inc,1,Null,0,0,0
Seorabol Korean Restaurant,57,7.9,71,1,12
Kim's Restaurant,15,8.2,22,0,3
CVS pharmacy,0,6.5,0,0,0
Papa Nick's Pizza,7,6.8,5,0,6
Rita's Italian Ice & Frozen Custard,3,Null,4,0,2
JR Mini Mart,1,Null,1,0,0
Champlost Street & North 2nd Street,1,Null,4,0,0
Generations,0,Null,0,0,0
Olney Art Exchange,0,Null,0,0,0
Pure Water2Go,0,Null,0,0,0
Gonzalez Grocery,0,Null,0,0,2
Danas Pizza,1,Null,0,0,1
Marijang Sung Resturant,0,Null,0,0,0
Bravo's Pizza Seafood House,0,Null,0,0,0
Pizza Bona,0,Null,0,0,0
Young's Restaurant,0,Null,0,0,0
Eric Hua,0,Null,0,0,0
Sparks Street & North 2nd Street,0,Null,0,0,0
D&L Food Market,0,Null,0,0,0
소문난 국밥,0,Null,0,0,0
Save More Food Market,0,Null,1,0,0
홍식당,0,Null,0,0,0
Deja Vu,3,Null,0,0,3
Ganaan Restaurant,0,Null,0,0,0
Hot Wok,0,Null,1,0,1
